reviewid,review
RI1FLXH6TFEAJ,I ll be thankful to you
R172WRCQLOW97V,Worth the money
R3721R2I1BFETF,Best
R2DH3Z46FTCXQ8,Nice sound
R31KHU73E9BSU4,Best power bank on the market.
R3L907SI2ZHXKE,Small & Handy
RL4KVP8C4HB1V,Good Quality and functional and practical design
R28U78D29I6WST,5v out put ravatam ledu 2or3v matrame vasthundi..
R1SWA127EAXE3Z,Good
R2EQHF2D3V0YAL,Nice
RA8LHY0YBC8WB,Easy to carry
R1VM09M39X39Y,It is really good
RRCQZ1NUT86W1,Good quality. Does not make sound. A bit less stronger for heavier mobiles.
R7U9X4A8OGS3I,Good product for those who will not change the mounting position frequently
R26604Y3P1D000,Good product
R1KQQ073FBUGOE,value for money.
R2L5WWOGWCXTX9,Useful
R3S4F4U2MF1Y50,Have been using for almost 2 months
R34PV1REW30PDN,not sure ondurability but this looks of good build - going good
R2YMG0H31K4P6J,Ok
R3GPDNKHUWXBMD,Fine
R2UV1Y16L96TQY,Difference between this and a 15W is not that big
RI0NHWUS3HCNY,Original product
R2WM2M0Q21KL5U,Fast charging
RNK7Z9UWFZ55N,Good for Google Pixel 6a
R1GGNZYCTLDM0X,Best a big charger as big as galaxy z flip 3
R3T5NNNE4VO6Z5,Great but little hot the mobile
R3GNTYXLIFVANT,Need to buy a wire seperately
R3B5HP4PJ8JIOG,Ranjitha
R2NS7Z2XUJL73H,Good one
R3DLYP0JW3PWDP,Best One!!!
R3HWHOM95KCAZV,Good and average usage
R2EVYBZOHRZ8NQ,IT'S BEEN GOOD
R2U4UV55GHL0AB,Good
R1MXAL2G4J2CB4,Noise
R2E6IQWP86JIVZ,Overall good product
R2VEHBS4GTI9SH,Premium looking watch
R560D18O1BJM7,Excellent Product
RYPXAOQI77XRF,The Tracking and touch would be better
R2T1AP2XBIAQBK,Bluetooth connectivity
RU2RYKNTJU52I,Very good
R3D6UA9AB1KZ5D,The watch is good
R1YFZYNSZI9FAG,Felt Good
RQU8SHDXBG8NZ,Not bad
R36UIGIQWYOKT,THE PERFECT PHONE FOR MY REQUIREMENTS
RISUCL5YV9EZN,Galaxy M33 5G a mixed bag of Affordability
R2K5OD0MEEBTDL,Phone
RS1N6TNO33BOK,camera
R6KWBGOKI1N9Y,heating - works for me
R30SKUMYLSXXDN,may not for all
R1EOYHZWCRSV7B,Good Mobile
R13JBDK4SAAYFT,Good but not excellent under this budget
RJOU5K9ECNW7Y,Worth the price at 9499
R2APPRANV6IERZ,Ok type phone... but unable to make videocall within same service provider.
R26YAKWWPQSNL,Worth the price
R30L263BU0PTZP,expecting good performance on extended use
R1A8G9G8J5Z3V5,According to this price is value for money Good product
RBTZE0Y27F7IZ,Good budget calling smart watch.
R39640821J2S6S,Just Go For It
R75IA3ZAEBTFU,It's good product in this range
RCVN98N40B1C5,Very Good watch in this price Range
R3MDWPL6USKW2T,Good Product as per the price charged
R2ZQ3KNS6ADZKG,It controls Brightness automatically whenever u go in dark place or in sunlight.
R3OMNNV6IXSOCS,Good in gaming
R37Z2W6UYIVLBR,Touch not good
RRI2HSPM9BYXP,Good mobile within the price range
R18PVOQF41S4PH,Great Phone
R1WINQHG1SD7FW,nice phone
R39GPO64XUXZMW,Budget Mein sabse mast phone
RYLBN0DAJU4SZ,Good but camera quality is not up to the expectations camera quality is not up to the expectations
RCP907FSHW2CI,Best phone for below normal use
R2XSNFIDSF8IL4,Good mobile for minimal usage
R2JB9PO5MV9LER,but technically highly worth
R1WOXRK1I1XUD1,For simple use
R2R7NPFFHBHV2M,Ok
R209MH0VOGQ7EF,Good quality product
R276N47ZR7TWCM,Good unit
RFYYONBM15HX5,Good
R2FY1Z66KZXJWD,Nice watch but some cons
R2HMU574902EOQ,Great device for the budget !! And amazing amazon service!!
R33J3X2N75IXU3,Good watch in this price
R3GGQG1U2KLAE3,Watch faces could have been better
R31AMOLX49DVF8,Amoled Screen & Touch
R14ALM4LONM07K,Some improvement required
RBQ5KLENMT5W,Not best for tracking sleep
RC8LE1R8ZUXK6,calories burnt of heart rate.
R2DOHSMCOKMG28,Noise
R23BQ1TQ435IEO,Noise watch is good
R19QIA3XET90J7,Noises
R30UYREI7BF2FB,Bluetooth calling
R27MK332LTT5KS,Above average phone
R2TN6LNGD4FLYB,Worth For The Money
RVZJOLWLG5JZ9,Okie
R32Y3RXFGS0N8S,Phone is excellent
R1WG388SX6A8SS,Purchased in good budget at 12k
R3FCO1GKVP9JHZ,It can fulfill basic needs in affordable price range
REQQ0KOQUU7N5,Nice
RB48XNZD8P2Q4,About features
R30W8FL25XCO0K,Not that faster.....
R1D8C001FIVRSU,Good quality product
R3925M38KC8V79,Nice product.
RXGOGCFPVKD34,Beauty and the beast
R12RKF2K5CHXWV,Super fast charging
R2MZ3DIZ5TNO0W,1 hour main full charge
RUB8S6S3B4G58,dono mobile hi fast charge hote hai.
R37JZMH1JV7PPA,Nice product
R225TDOAW3E40Y,Cons that most youtubers won't tell you
R20F4XL6H69YXD,It's good
R30J2L74QHTQP9,Battery is normal
R2OF67AGC4N6JL,Good celphone
R1SBTL4GCVQYN7,Nice phone
R3LLRND14DDJAB,Phone is good at the price range
R33RURRS0SE6WD,Affordable
R3EQVOLZJUSS1B,Multi featured mobile at economical price.
R2U0MOPP5A6KMF,Do not waste your money!
RPZFZ77ZCT4IM,stable only till half opening
R2K55RM7YMMECZ,battery cost is very high (2 batteries cost the same as selfie stick)
RAOZT6IRRYUCQ,light weight and useful gadget for a family to have cool pictures
R2G7L7325PDXOX,The length of the selfie stick should be more.
R2DJYKMFRAQOTE,Good
R6WQGLVY46ZMZ,Superb
RT72XDZGEHFR6,Nice product
R2P0CRDHOMUX,Good
R1JGV8KAD50B2H,Amazing phone
R3TYY9FVH4FCHC,Nice mobile ... But Amazon very low service.. every product
R1QB481QG82BJO,Value for money
R3C5I5PQSUB7L,Good prpduct
RPNGVTBER1EP8,Good
RTD8NH880GNXH,Overal a good product
R3H70A536HFEGG,Best phone in this range
R1S5FUVJK5BDKV,Solid phone
R10T102N4IHERO,worth considering
R1QALRWVTEDXMH,Good Phone
R25MVXUNZDKPIY,Overall decent product
RJ0CS41K876BR,Apart from the camera everything is fine
RX87956266XU,Product is good
R1HLEVV8WMVM3R,Honest Review after 14 days usage
R1UBTZ9MAS7G8V,Superb but need improvement in camera
RM040SFEJL7HY,Not same as original!
R3E4WLWZRX1XIX,Good product
R17867K1Z3HF91,Original charger
RMIC8UQMGL0U3,Good
R2G3S428HL7HAI,Good indeed
R2EUN4CN98ASSR,Good item
RH4LQXPYKNUHQ,Authentic Samsung 25W type C fast charger
R15K7J32T1VXWN,Good product
R2CKMKVZVLVGEN,Value-for-money
R31G5IFN5GICYC,Worth to buy
R1L0EKJ498BUV8,Good product bass bhi achha hai
R1J03LTLYLJTQY,This is AWESOME
R1K4ZOFHBZVZNA,Nice earphone
R76P8S1ZO6BND,India should also make like this
R31PGOF9FRDEV4,Good earphone comfortable feel
R1VX9N9I41ZY6F,microphones
R1X7186WUECR3,Let's bust some myth
RIXG2KYOQHKVB,IQOO Neo 6 5G A midrange model that offers virtually everything I want
R2LYKHFGZWSYDL,Best Budget watch
R2LAYGYWWKW3YG,MERA WAQT BADAL KE RAKH DIYA!!
RAG4DPQGRW30H,Nice product and user friendly compare to other smart watch
RY14T5VSHXOVL,Nice watch...
R32YZCYBC5ZRV5,Vikas
R1DMAEV6DQYUOD,Nice
RNR9AZJON6EHU,Not worth it
R2NUKH8120XBX1,Grt
R3BGA0IR8XWNFF,Value for Money
R1Z9SVTENNC9JG,After 1 month usage review
RE5OA1UZUJM9W,Good product
R285X2YEP7XRRW,Product is good and light weight.
R1ENCB49VUPLIC,Good product
R23RJUU2U87L75,Nice product.Bluetooth option Is good
RM2L3W83I8OIA,Can go for it
R6BV56BS9PVP9,not much stable but a decent product
R33U0ERE0GVMNJ,Good deal
R1CQTXZAM4625F,Looking is fake product... Storage capacity 58gb.. Menstion64gb.
R1YR920UPA7YH0,A nice gadget.
ROOP0SB30EBY3,Nice and good
R32BCBNUXTRTEL,Trusted brand
R11PB4N9WB3VCS,with adapter!
RQ5FP6ADSIS6O,I liked it's performance and quality.
R91WZEICT9YIM,Good quality
RLCW4ACH6TGM7,Durability
RS7QQ6IPVH0ZK,Best one
R1DN62U7XKE8ZR,Quality Product
R2OIY1BC4689L3,Trustworthy Product
R1WK9XGOKLW4ZN,good
R2K4PQ80K8G5PO,Good product in budget. Go for this adaptor
R9R2RIKI1CO8Z,Good quality product
RHAN9P6JJBKA5,Good one working perfectly
R3LPK5GH31P4HW,Good smart watch of the Year 2023
R3E0GB12MWJZZX,Value for money
R2CLET51I4B6OT,Best product at the price group
RHAXM6WBH7UXK,Best smartwatch under Rs 4000
R192P7ADK9SGET,Amazing product under 3k
R1F57B71LOMGVR,Best in segment smartwatch.
R1TJUP2ZEUKJZF,Need to update app
R2QWZND34KWAUL,Worthy of money
R2KLBZ0I1OK6U2,Good Stand For Mobiles !
R38C18O8S9O2LM,Nice produt
R1PAUHTSKMIAIB,Useful
REREHUV2GTGYO,Affordable and Nicee
R2OJMVW8WOYD0M,Good for the price
R1S9ULEQ5XTNFO,Value for money
R1Y6IA0PNODPA,write product.
RHMI8LH34RDXN,Best thing that you need to buy if you have Mobile or tablet...
RU8SZ6NFWFYV6,Little above average Earbuds
R1GQJT5423OND1,Buds i love
R2OJEFG3PL2ZVW,Unique form factor
R31P2Q316FHLME,Best call quality ear buds
R1JH7M7L4615A2,Good but is it worth it
R2851K7A34YYHT,Bluetooth range not that good
R22I6M8QU55OWI,Excellent sounding pair of earbuds with one fatal flaw
R2NCEGPNATUEXJ,Bluetooth connectivity is not upto the mark
R3TQ32UCRS81WR,Nice and soft product
R2QPXXMX0YH89H,IN PICTURE SHOWS AS 16 NOS BUT IN COVER ONLY 8 NOS
R2NBUIKICW6ASD,Usefull! Bought 3 packs in Rs 99 each containing 4 pieces
R3KIQZ1W9FWK3P,Quality Product at affordable price
R1R9QY3F8M6CXP,It helps to hold the joints. But not from the USB level
R2DNZV0AH311P1,Very third grade quality
R2ZAGKBTL8IEMI,Only two packs came
RGMYTIRB3LWEA,Cool Product
R2MHX3EGIJVMNQ,For the price tag it's really worth buying.
R1FHCHWONZZ0YJ,OK types
R216RLQKYB7TWS,ONLY FOR GAMERS
R1LN12XSMIYTOW,Earphone case was not there
R1TG4AO6RXHQNZ,Budget gaming and music earphone
R1FCJNCO47BBLU,Ok good
REHOKLPMH5R8P,Product is good but the accessories like the pouch is not provided as mentioned in the description
R34LHGI3NRQ0Y2,product is good but not for this price
RB90KDMXOCCPZ,Best option in 35k category.
R1OARKAJGLAKQ4,Terrific purchase
R1N33NHFCLHH1Z,A highly priced smart phone.
R3JL5MHXQ8MCFN,Can't get better at this cost. Review after one month of use.
R38ZGFRJN3GTNB,Oxygen OS is providing poor experience
R1VN3PBKU8OEGA,overall device is okay.
R27ULMSJKIY5YD,Ammazing Product
R34U56TMQL8B9J,Highly recommended
R2SPWOVTNO9SQP,Very flexible
R1D39QP2DCGN5D,Good
RP84GJ5M88XI,Very good product
R16V2OB7NBKY0L,Good
R22NOAMYT0PYEE,It's worth every penny
R1QAI2QLFV2ST1,Good
RMXN9V3YLV8Q9,Mobile stand
R83JPRO9V52P,Nice product
R3UTU1ETF9YL12,Good
RSOL1K3LF3E2I,Kaam sahi karta hai ji
R377A8K2HZUIKP,Woks fine
R34U15DVK45JC1,Nice
RAI2NHXM94X69,good and portabe
R3IW1BTNA6GQJ4,Good for a single charge of 5000mah mobile.
R1VS6ME7USZQ76,Good product
R1Z1YO987IN6WA,Worth every penny
RRW1QA494UE5V,Price
R14EM7EM0MGBC5,Amazing product
RLPQ6DDNYDH9F,Nice
R1NX8T5TN04CZ1,Just ok
R135SE2MJDL8AY,Value for money
R2GLOHTJX5OYOQ,sound quality is good
R3TYVHL507XB76,super fast delivery
R3C219XKJW9GI2,Decent Product at about right price.
R7KGIU29C0TLL,Seems good.
R3S0UMZSM6FNWM,Good Quality & Durable Powerbank in 1k range | Review
R3MODCWX8MEIFI,This is the second power bank from Ambrane India
RGLPAU9M85OBG,i am happy
RBOERVXC2919N,Its heavy but good
R1EYK2W81FR1YN,Good product
R2QUFMWF2JX8KR,Good power bank
R1ZQQKZCCG4KD2,NOt worth the money
R1OHAWNCB4K26S,Good budget smart watch with Alexa
R1A7EDRAMKIXJ6,
R2H3UO33625F4U,Good product
R3UX0I4P6QYZDT,I don't have flashlight function and speaker is not working
R2WBZ23WWYQWIS,Nice
R2VDCJG8SCEN6I,It's little cost
R1NEXD5T49KYP9,Wach not working
RWVCDTLWJRC3M,Item is good. No issues at all.
R3MJ0JMWK80XK8,Charging is good but cable quality not good
R9ZFKUH0FBRMX,Good
R21NL80UATYBKB,It does the job
R1CUCX33DRNLV3,Decent and durable fast charger
R2FI0QR1J4J704,very nice product
R3RKJLBB11FNIO,Working as expected.
R25C9QT8WYDZG9,best value for money
R10KEMT1N336ZD,Awesome Product
RL01KZO95GX4F,Good product
R1Q721FI3A7XLK,Good quality
R34MTIAB8IHAI,Good but overpriced
R1LG1DNA516T7L,Gud quality but expansive
RFH8DR3A2O8BG,Not bad
RFA922H587JFN,Ok
R10BFD806POSOX,Worth product
R1GQJYYLCFOXJ8,Excellent Phone in the budget segment
ROASRYCFUFCK0,Best value for money... But afraid of future MIUI updates.
R1M63KP70YH4TU,Don't purchase it as camera phone
RV26OEPPLTVTZ,Dependable & it's been a year.
RAS4252SOW901,Budget mobile
R1EQV38U53I993,Good for basic use
RD4X602L8KNNS,Phone is nice
R1DSLJ58BW45MG,Good
RZF2IS7TK6MF4,NICE IN VALUE.PARACASED ON TWO OLY
RLAJSE9228SAA,Working fine
RHZFWFPW57PEH,Good product
R5V3SEBXEYTV9,Good one
R3QW79LOKH6EDA,Good one
R15LLZLNGUHHTJ,Very good product
R2NS5ZCYJFF5KE,Decent product
R3MQME1SHOPH91,Good product at a affordable price point
R2NP5Z355ZHRS5,Nice!
R31UEUZ7SSSMWI,Very good n useful product..
R12LCASDHZOB5X,Value for Money.!
RLBAK5CT8NA03,It's great
R3RU9Y16IO9WEC,Good 3 pin plug
RWDHPQP1486KE,Useful product
R38QX86OPW8QSV,Works as expected.
R1P673FG5GG9AO,I like the product
R3ROYQ6BV3RM5T,Best product with good customer care
R3ETCBWLMH5U7J,Best suction and decent plastic quality
RL03M79RJEZYY,Good product with good quality
R38671IDIYF3KV,Good solution
R20KDGMHU5A66W,Good cup adhesion. Overall satisfied.
R1H428OSIRK1PP,Overall nice product
RC0FSCHN4TB9A,Nice One
RPA8V1051ERUL,Best
R2M7ENP70GK5P4,genuine
R3PA1IDUY9QNC8,Nice product
R1QVT2JWXS2Y8Q,Good product
R2D2Z6QVL2FXNO,Value for money
R2W3Y5HX9WED9J,Good
R2TUAIDPW255N6,worth of purchase
RWLGI93AXFKRD,Good
R2WQHYFXQ5BCCA,Good Sound
R3BU0MFK2ORFS6,Not bad
R2A3HU0CB8SUQ4,Best gaming earphone
R28DOVGVW1QZXZ,Some what satisfied with the boat 242--- 4.5/5
R26XU8W37JQI55,Outstanding fantastic
R2S12HQMGEON44,Good purchase
R2NVYGBTVG3FJR,Nice product
R3VG49O0264FQ9,Good quality
R23YK9FCYDZ8D5,Good one
R2FHT8TJPYXUVB,Cannot set tha 90 vertical angle
R2775SLGU24T7V,Best
R3M6CEWXVKNB4E,Nice to use
R17T0PBEN71P6E,Avarage
R4P7D5FJZ86K4,Value for money.
R3V035V0E672U2,IT DOES WHAT IT IS SUPPOSED TO
R331A15NMMC2WR,Good
R36T09OX35WPH0,Budget Phone
R1SPKNBAZ5I7N1,Good product at this price
R2H32V6C3AL47P,Good prodect
R3V0GQV599E046,Good
R1K3DKKD38K4YV,Good
R3GLFGKDB9OSU6,Value for Money!
R19K03O5BUU15B,Not bad
R3LHO7E66T27P9,Nice
RE1RVB3YIBPKD,Easy to install but a bit slippery
R41RLIIPI7UUH,Very good product
R232FT7DXDWX1C,value for money
R1V3MB7YGA2UND,Expensive but for a reason
R2TELVLYX3JH8E,Best Screen Protector!
RKUQAQZUBEG5P,Best tempered glass to buy for your mobile
R14GNLBYKUA03S,Clarity and adhesion is good
R3KGBGD8RQ7BH7,Perfect product
R1NARG7VJ59AD3,Noise smartwatch
R6BEKBJDZAEX5,The product is good overall
R36J5LRZNMMZXL,Good Battery backup
R2AHCTVOGP0T6P,Okayish product
R3HDBTGLJJ34YO,Satisfied.
R2Q8HE3RM7HW5L,Good
R1K6IPHKQQ03AJ,It's great watch
ROANI9ZPECRM0,Noise
RJYLPPJ0FGP7W,Good phone
R2FID5PFZZFEMW,little expensive
R358SS960NFBLL,Buyers Beware
R3V2BSMUA81YBR,I bought this mobile at 18k
R11VQG0J80EBFL,worth on that price.
R3ULSAT0BPNPG4,satisfied with the product
R2XXGJP0K25QJZ,Single led flash light
R2PQ51W8C26K8S,Good product
RM0S8X7RALDXR,Very good power charger
R2118P20L5XNMT,Good and original item
RRO90ETYUURUA,Good and original
R323P80OW5K9CY,Power House !!
RXQMN1M04TM6F,Good but not perfect
RZFKWWARTVKAF,Best Charger
R8H5BG1FDKRSA,Value
R3J9SJCJGPDO4E,Average
RFPSJKWNCQAO2,This is best
R14L1ELN40CL68,It's okay for a naive user
R26SGRT511UO9Y,Good for the price.
R2RPCNJXQJS739,Good
R15CXRO9889JGL,Excellent Product. Easy to operates.
RYUKIJ43LG4RC,best features in phones which you dont find in apple like call recording
RUHO80MJ5NV8O,Good purchase at this price
R20IACRIZKZAQF,Good
R27C4TPKHXYBRU,Out of 5 iam giving 3.5 rating everything is okay except voice sound during call
R1WGISGIIXAU1B,Simple for rough use
R2WFSJJW04UWJ8,charger quality bad
R2QYC49E7WPALL,Lightweight.
R1URJDO4NTW2ML,Terriffic battery life
R3D6T949ZTO02J,Good one for elders
RL8X7H598LEE4,Good in this price
RB0LBG619UMSN,Good
R13CIOIUD1D8UM,Easy to install
R17AIJTSM1FUNS,Best screen guard and the easiest to install!
R3AJ1T3JVA8O9V,Easy to install
R2LC5ETGN1KHH8,Very easy to install and doesn't interfere with the case
RXGY54C9GN1LV,Value for money
RNCM6E4OW05E,Good tempered glass
RT2KK4EHU66TM,Value for money
R2O3QIKNY5DF3X,Wonderfull wonderfull wonderfull
R1DVF8WQYO780,Really Satisfied with purchase.
R2B57KUCWYWDKX,DO NOT BELIEVE ANSWERS FOR QUESTIONS SAYING IT WORKS ON iPad Pro 10.5 inch (A1701)
R387VL6JFWOGER,Does all the necessary stuff
R1OI6WSW06GR1S,No Double Tap Gesture
R35O9XKPNRSYBT,5 star product at this price
R18TBS4UYVK90T,Very good product
R2Y87EUNNJCKL7,Automatically off's itself
R3KEMD6RG0SKOI,Value for money pen
R17AITIJSUGQPX,Good charging speed
R2HIE7XFOYE3GL,supports well for Suzuki burgman also
R3E5Z7FQ1S0QX4,Good car charger
R285YUOW07EVMO,It connects to apple lighting Cabel
R3V4MXWG0YPF9R,Good car charger
R34N3UV1B4LL6W,Good product
R16JFD8JNYYTIE,Nice quality
R3G5PHC3VUAXU8,Its only a charger
R2IIY08QX4SR46,Feature Wise OK at this Price But Sometimes call screen not come on the display of Watch
R267DLLCKGD15M,Problem with connection.
R31P4MQH7YLP4I,Good
R42A5QTEMPPGQ,Good watch
RHE6HF6ZA5R2W,Worth 1799
R1YAD59EAWIPJS,Very nice product
RYH2UHSWNFEWJ,Touch working smoothly.
R23524DWSS2QQ3,Nice watch
RZ7HZPPMZP6NJ,just a watch not smart one... all features are to make fool of you
R3UU1TR7386E57,Worst watch
R3IX0H9MIZUJNR,connecting problem with phone nd automatically disconnecting from phone.
R14GI2JBIZGJ61,Very good quality of product and price is very low.
R1U84J3FQUIM6L,Good
R2ENIZDLLQ21KM,
R2XNZ6AHVRFG25,Damaged product supplied later on exchanged
R1JHP7LI8PMNM,Battery life less.
R10FUJSCR3VYHY,Works well
R2Y8B5LQ5HLACQ,but not for long
R3BC8GS9GGMBTI,Good product
R2BO0XUUDY4ZA3,Good product
RN23FCU4EP3F3,Good quality
RDGNXFM923PG4,Excellent.
R26PGAI8JKY8XB,Good
R381CGOL80J2QM,Average item
R3C2WT83DOSL8U,Best For Its Money!
R1GKC3NL9J667A,Nice quality
R2EQZSSQHG60ET,but comes with a price!
R1AA3R2AQC9MOM,Easiest to install
R3IF70MWH0IS69,Easy to install
RQRALTGTHS809,Worth every penny!
R3128T0PG1V9CH,Worth it
R1MUW41R427BHI,Good but costly
R2U10LYYC10P7G,Sturdy
R247ATLN4EWIZW,Really Flexible
R1MPFKYPRMO5YT,Good for Moderate usage
R1XY9CHD5RF3GK,Good product...
RN7COQSQK4VHG,Good product in this price.
R77IUN9DGACP3,Good
R1UEW20K7UFQ57,Good material
R1R38EQG1H6453,Stability
R34K4FWTB5W7AY,Boat cables
R1AIQQLE21YDXS,pocket friendly smart watch for people who loves large screen.
R26ABOIUJ8UXJ7,Value for money
R93L2MCBC4Y90,Value for money product
R2GDAM50Z413JN,My watch is not charging
R16TI1N60Q41BB,Service
R1UEYEMD03OA5C,Good but it's not working now
R16D88E4TNGL3M,GREAT PRODUCT....
R1WSNRYZ7VK0KB,Good product
R3UEORHQEZE02I,Overall good
R2UPOYZPNU8349,Sturdy
R3C3HZYNE1WHDQ,It turns yellow
R1N8R67WYJGKMJ,No issues and yellowing as of now!
R3UZ1PKYHGKLV6,Not worthy
R2KA8O97VAZJBJ,Awesome
R3OL0GIELMWSPG,Amazing
R1KWGTMTWTIMQ9,iPhone 13 back cover
R35G82LMN1P1V4,Good one
R2R9TCZMPRU2,Almost perfect
R2IJXSRMFCQGXD,Go for it
R3AZ1FCTLW335M,Good product
RQR59DAFHW3WV,It's folding system is good
R1Z1QLVITW84J4,Very good product
R2YQHZ0LLWV1HI,Great stand sturdy and good quality
RSC0FWSR0TQTI,Good quality
RBBUCW5C77081,WORST PHONE EVER! Read this before you buy it
R3OZNN0REGYW37,Value for Money meeting all smart phone requirements
RPWJM0MSSSPKQ,In this range perfect
RDOS8J6F5UUFR,Camera achcha hai
R2FLPV0UUUZ7N9,All over good
R1V7G94DCYII33,Good phone at this price
R2JHT8YA8MKY6D,Budget Phone
R2WB933QP966J7,Worth it
R2FRXL54AFATWQ,Only affordable Stylus that works with Apple
ROBDUAJXECNYM,Product is good
R6GD9MATBBC0,but Spare disk is missing for me.
RGKPT6A78DSX2,Best deal for this price
R7UCUG9Q2AOY9,Good but improvement needed
RWC4G90JFDFX5,Average
RCDQUPWVIM6NN,better option are available
R25MFNHA3G4KVK,very fast and smooth work
R28SHHTDCYFLEK,Nice one
RV4W2N7V5XWQ2,Nice I'm happy
RVXZKH1V12BGV,Best buy in the reasonable price
R2I4E5T7EM6I5F,Great product
R103G2OV6OFA3Q,product review MI charger!!
R2RO9SXDGM8J5C,MI mobile charger
RRMMF8UU19VAL,Top quality charger. Original MI brand. Do buy it if you need a B type charge
R1ISB08X01VDS3,Good charger
R1EZC4VZXSJG4L,Very useful
R1R39X4XI4GF5N,Very useful item to make your phone cables long lasting
R2NR5VY4ULMZGZ,Price can be reduced as this product is not worth for 80 rs
R1FGNEOQQOF3QC,Value for money
R7BTN0BZCR0JG,It is useful
R1IGYOAGJ9FW5U,Good product
R3B1Y0WDM2QS0U,Good quality
R2KNU5Q3FUL54C,Its good item in this money
RVRVEXC4LY123,Tap to wake up issue
R1T78WUQICUVWR,Such a amazing watch.use full gestures.
R1DOXKQXS4PKV4,Great but hand wash screen off problem
RVUE4MKJEQRHT,Restart problem
R19TF5TUY71HKH,Nice Product. Go for it.
R37SY71K0T1BJN,Super Smooth Experience
R2S5BGMA1NFQKX,Don't buy. Keeps restarting everytime a call arrives.
R1YLUKFUNEFOS8,Highly recommended
R18WAOEKUC44AI,Handsfree!
R1BGNNW7TQ5MPS,Recommended
R2L7845B2RVR6N,Good product
RMOKL16V5DQIB,It's heavy and stable.Good product but can't change as given in photo.
R3FXQ9F63UCILJ,Good and Sturdy Smartphone Stand
R2L6CGYUBY0JJI,Good and Sturdy
R7KWJGO2GW0F1,Ok
R1H7NLDDU8PSE6,good
R3KJZVGMCEDPKA,Nice phone
R1EU6W1X8DZQN1,15 day review
R3L27Z1PJ76EKV,Extent
R1834GGPCPMNI7,Awesome phone
R1UMU1N5S0KAZR,recommend to buy it.
R1WXD21WPVTX5W,its all okay
RKAXT22G5HS62,Design
R30RLRRT0OJMVO,Good
R1VSKOXXZVR2QQ,Best for this price
RTHHAHQ848PU8,Nice starter smartwatch
R1RNS2YZ7FXVD1,Work
RMYPWXFB5Y3MQ,Very light weight watch
R2ZCXVKC7DFULV,Smart watch
R1MBN704BJGOUR,Good looking
R357MDXJPLIJ9E,Super
R38J3H1JQN20BI,Good
R2RSNVMKFP7F3P,No vacuum suction
RH5W7R1Y9BY84,so it works
R249DXGFQ2JBLD,Not bad!
R2VNKWOJBOWTDG,Good build quality
R2YUL0HEHC0ZN2,Fitment in AC vent bit of a issue
R2I46FOK401C78,Gets the job done!
RSAI7CGWIHYS0,good
R3OJNER98OIMQL,Good
RCYM7OUD8PKWH,The space between the ports is very less. Engineering defect.
RRK0TIGHV700F,good
RRAGI9YCKE2H9,Heating issue
R2R51I1D2W2K9X,Good
RRI0B00NV10SB,A smart product.
R261OFDIUG1971,Awesome
R2I7WIQ18HOAJR,Good one
R1MB58FBZOQYHE,Good
R2HRFJXDH2U2QF,It's pretty decent
RBF3D3XXWV6MG,Friendly product
R35UVFYMTLRZXN,I love its design btw it's a descent watch .
RAYDUICJELIOP,Excellent
R37BU4XVJNNTLH,The Blue color is worst. BUY RED ONE
R8Q0FKDLJ9B8L,Design very good
R38C74PL5UIY1Y,Its worth it
R211TH789OFH2F,Very nice
R2DFHKY9SQTXGF,Great
R52EDT5ZD6ZQF,best 4g phone for around 10
R41500Y3DT8IX,500Rs
R12TCJ1XMAA5LP,Good midrange phone
R1RWY2VHKKRTGR,SAMSUNG GALAXY M32 PRIME EDITION (Pros & Cons)
R3EQX6JS3PVMLK,Great Phone but slow performance.
R1J6XAH9EKY79T,Good one
R7ZHZFO8L3X2W,Good phone
R1A2H4LNTTSZKN,Good 5g mobile
R29RZ6S6SY3H4F,Overall good phone
R2MZ7BZ4991B7O,The best phone in 2k22 I have purchased in 30sep
R125UHW97PT3OH,Works amazing and buttery smooth
R1GNNZDXKP43DG,design kinda boring though
R1ZDKQ5659C68H,Good
R36FYJ9DGL1QL1,Overall good under this budget
R1IZDBZW18XJPH,not bad
R2G9RHDQN3S511,Value for money smartwatch for those interested in tracking their physical activity.
R3GFHK3HJ4FRRZ,Noise pulse2max smart watch is awesome and looks good
R3QKL6QNRFS6T,Paisa wasool
R1JGF7WFAYR6SA,One of the best smartwatches in this segment
R3QMM0HI96HW0Z,Noise
R3OW5MN95Z8BDO,Touch
R1NBO3NP1WH1V8,Good value for money
R9DM4KZATOPQE,Best budget segment fitness watch
R3JPYH668MK3JJ,Good Quality
R2PR9B2W94FLT2,Good one
R1P08EMGTQXLEZ,Good
R2RS93VMF3PSHS,Decent buy
R3TJKDUB3GKBQ8,Value for money
R1PKZ6WASMYMSG,Product worth buying
RZV7UUDKB6JRH,Lasted for 5 months
R2Y3US2UNMI3UR,It fullfilled my expectations.. Looks awesome..
R2IUZKZ2BFCQPB,nice product
RS3FCMS4SCQ6V,Great watch
R1DKS4CX2ELE9L,Ok ok
R2O8KBZUC4EB8A,Nice
RNT0QZ6SRDN5V,Thik thak
R3H9YQ6S3H3GLL,Avarage
R3W56W4AW11KW1,Smart watch
RPJ5DDRIN3STD,They can improve more
R3673WOUZQ8VY4,Sensors burnt my wrist upon wearing overnight
R3129KHZHX9V13,Worst to buy
RDPHA1Q2BUYT2,
R1Z655ELTMOH4N,It's good
